,avg,max,med,min,q25,q75,std,activity
57,-0.0016289122515322236,0.0015798385173811694,-0.0017943312603379662,-0.003058175087022203,-0.0025315116123153037,-0.000948329041817908,0.0010829644691296408,bad_back_tall_arch
58,0.0024074719271658506,0.01871532952966888,-0.0015865176269547448,-0.002610351957484363,-0.0020246155291063373,0.005514737168581303,0.006578671085240046,bad_back_tall_arch
59,1.4856245566519616e-05,0.009839939561118638,-0.0012594576958529441,-0.003059000652166715,-0.0023407214599488503,0.00027449883569138656,0.003508074017180144,bad_back_tall_arch
60,-0.0011853479126539043,0.002479436516943142,-0.0016673941062308882,-0.002667638891311369,-0.0019266256309849168,-0.001082560053932866,0.0013258691660176546,bad_back_tall_arch
61,4.865537946318705e-05,0.009445795026552075,-0.0013572266677578126,-0.002883047171638385,-0.002177287930691733,0.0008832277503212273,0.003205712835045049,bad_back_tall_arch
62,-0.0024918896284896242,-0.001417984586945076,-0.002554684525167293,-0.003218724985942109,-0.0027490609265718945,-0.00233063281341181,0.0003948418556273289,bad_back_tall_arch
63,-0.002018503190853929,0.0003050679830389048,-0.002233681459043266,-0.0030943997910668304,-0.002775520778449063,-0.0014142716287433646,0.0009064314520490489,bad_back_tall_arch
64,-0.0018510470062198649,0.0027105022993878787,-0.0023878486042068336,-0.003750868146537791,-0.0026648712381325467,-0.00169843693032879,0.0015262777855477845,bad_back_tall_arch
65,0.00037009477964251213,0.018335081738756944,-0.0015875218676565566,-0.0028314523591006016,-0.002055465827513207,-0.00044190978837809316,0.005085025657963245,bad_back_tall_arch
66,-0.00255653718923036,-0.0017849182873389974,-0.0025520872357371943,-0.003323390774537174,-0.002792025318029702,-0.0023338040630523594,0.00036166182599162974,bad_back_tall_arch
67,-0.002529851744328807,-0.0017748436051292507,-0.0024916059301373344,-0.0031300039647092627,-0.00289143317682345,-0.0022629802393549386,0.0003631256100815786,bad_back_tall_arch
68,0.004367384077019867,0.011137684500182207,0.0033771988154409805,0.00042672948107016286,0.0012790808599428172,0.006771277655260088,0.0037556079256842244,bad_back_tall_arch
69,-0.0010407393139699264,0.002180021569550322,-0.00137106107655155,-0.002565783071819084,-0.0019384673142762271,-0.00022010893371869224,0.001179990618349819,bad_back_tall_arch
70,-0.0018666002286124393,0.00030772376261896405,-0.0019865529677435194,-0.0025853146932482284,-0.002213141940156053,-0.00177078614343182,0.0005921441261540779,bad_back_tall_arch
71,-0.0019072747172417183,-0.0009334811774905589,-0.0019266508017257078,-0.0026732753051138553,-0.002119372385594831,-0.0017264138403141763,0.0003614895909913574,bad_back_tall_arch
72,-0.0015319702230200574,0.0005452955753379744,-0.0016261954495587084,-0.002453923689239571,-0.0019934194549888085,-0.0012240902032055003,0.0006707974689138204,bad_back_tall_arch
73,-0.0018425675401322259,-0.00039259999095550855,-0.0018896602122794811,-0.002700483249383491,-0.002312898015408403,-0.0014832883830381836,0.0005682580008173708,bad_back_tall_arch
74,0.00395418063721267,0.020291590016947875,0.0009550729142871143,-0.001811857555132105,-0.0005673767393347115,0.007210474872844812,0.006278488877275342,bad_back_tall_arch
75,-0.0008692963084302935,0.0010782686477994379,-0.0010610435767129448,-0.0021242985684664724,-0.0013469108204462736,-0.00033364113046710037,0.000796682143475752,bad_back_tall_arch
76,-0.0013159979187109835,0.00046529265738481316,-0.00140936033382644,-0.0032231318538955382,-0.001933816882851175,-0.0006288397720287879,0.0009233144428969803,bad_back_tall_arch
77,-0.001810568095670392,0.0009923551482172346,-0.0019274321233814118,-0.0032160724775737917,-0.002336952905319539,-0.0016888556734811185,0.0009409687581797316,bad_back_tall_arch
78,0.004150578493230436,0.016782870145333247,0.003111696622189187,-0.002305176938965591,-0.0008155129198757346,0.007708943805175119,0.005421380924899044,bad_back_tall_arch
79,0.000802589978782307,0.004035044932770149,0.0004771965390294521,-0.0016948376948565387,-0.00036155327962516067,0.001751177790996667,0.0014935851178997238,bad_back_tall_arch
80,0.002817481174293265,0.0134581175073899,0.0003870834518789948,-0.0022121449676137032,-0.0009223776054971603,0.0060153006426913,0.004594577746451638,bad_back_tall_arch
81,0.0034322659121162275,0.006864515153033899,0.003259101137194926,0.0004914590249616314,0.0017762410223743554,0.004946035894239753,0.0022330311624250867,bad_back_tall_arch
82,0.0400670060083385,0.5856666806462288,0.008695756951383062,-0.043080023931609875,-0.000764739491944702,0.050808998805833595,0.08672544646565082,bad_neck
83,0.002776056672767966,0.024226121120593885,0.0008678578909307531,-0.009244837837288406,-0.005495377951100817,0.008165420153181013,0.009592726005405451,bad_neck
84,-0.005713817761809774,0.010596757035240366,-0.00821723102311181,-0.009934224856388911,-0.00949502009438851,-0.0058252706205245905,0.005847466077384777,bad_neck
85,-0.006919453945798414,0.0008694054937194223,-0.007361503645159317,-0.010897964809085066,-0.008961359774353696,-0.0056092099660726815,0.0027705319484083923,bad_neck
86,-0.0073821797133857385,-0.0010301915854532494,-0.00875662705489494,-0.010693075467035303,-0.0092188791711384,-0.005801997675006234,0.0027195014707029814,bad_neck
87,0.004048919729201416,0.018020371948895806,0.0036446100401101625,-0.00955867911070535,-0.0027094372995901794,0.01168226217321533,0.007986798160687555,bad_neck
88,0.000720324537383067,0.02533956808573714,-0.002102446714879403,-0.008347561639637952,-0.003911530054041138,0.0012992522125066478,0.007772211579689453,bad_neck
89,-0.009645279840267437,-0.008495686363674652,-0.009634500501035988,-0.010196167872111209,-0.00986936352593358,-0.00947253165481461,0.00032901047011295423,bad_neck
90,-0.005012319298489093,0.010863081113217203,-0.006484346851194954,-0.009973867830344816,-0.008593072469060152,-0.0037400910968123906,0.00502412969259828,bad_neck
91,0.014721012074834826,0.042478674065491835,0.009510980190394583,-0.0028855277054579305,0.003700704811801827,0.025542138224049257,0.014282836701783251,bad_neck
92,-0.0026412948293425024,0.023868929027843336,-0.007092087378557396,-0.00987368157750392,-0.007880004613484135,-0.003631898489137637,0.009221937540403546,bad_neck
93,-0.007256548286836377,-0.00024112992213115946,-0.007595700970246117,-0.01003776210268183,-0.008524869366977892,-0.007013652447008506,0.0021336045454126047,bad_neck
94,-0.008889342626746627,-0.005299691589256172,-0.0089209663554864,-0.011027176554119424,-0.009917498670633462,-0.008176128622937772,0.001242214484205987,bad_neck
95,0.03725780843071941,0.6260420881823462,0.004403400662596449,-0.03059401663547014,0.00027608841866214864,0.00915567040453739,0.12183567721739061,bad_neck
