time,seconds_elapsed,roll,rotationRateZ,quaternionY,rotationRateY,quaternionZ,quaternionW,yaw,devicelocation,accelerationZ,pitch,gravityX,gravityZ,quaternionX,rotationRateX,accelerationX,gravityY,accelerationY
1745971742924953000,0.485953125,-1.668588561127141,-0.037030190229415894,7.627798898142053e-17,0.030869293957948685,-0.6453706873028472,-0.19151354770959209,2.880900421420522,right,-1.0802414417266846,0.287168565147362,-9.36012788324952,0.9182783357396721,-0.7394721699039254,-0.022129476070404053,0.8504219651222229,-2.777614994303882,0.3611994981765747
1745971742964952800,0.525952880859375,-0.9180998247399885,-0.006177512928843498,0.018120982052383102,0.010121617466211319,-0.895326824087346,-0.04523681287030382,3.044387734467231,right,-0.38525182008743286,0.007607586058307898,-7.790658552390337,-5.955707562541961,-0.44273582460373223,-0.002106230705976486,0.6915489435195923,-0.07460417274851351,0.08542821556329727
1745971743004952800,0.565952880859375,-0.13182646044799853,0.024675166234374046,0.03312051715943022,-0.010626060888171196,-0.9910577909143465,0.1088322561332177,-2.9281847669513748,right,-0.01044684648513794,-0.08091593198989434,-1.2848178381063042,-9.689754389891029,-0.06973562016354959,0.01791701652109623,0.029306232929229736,0.7926488726202398,-0.003147795796394348
1745971743044953000,0.605953125,-0.11364105769495485,0.038265444338321686,0.03320656872007753,-0.015849757939577103,-0.9911931103494495,0.11285641930863699,-2.91938298303866,right,-0.0051863789558410645,-0.07963610780041813,-1.1085171952832489,-9.712515672275423,-0.060801663464827946,0.007335006259381771,0.012966670095920563,0.7801384967457503,0.00003742426633834839
1745971743084953000,0.645953125,-0.10452311983677953,0.04886956512928009,0.03258679616898824,-0.03576623648405075,-0.9912238612019625,0.11510284676786096,-2.914447003350224,right,-0.003277719020843506,-0.07762952758041142,-1.0200754531770944,-9.723756612735986,-0.056253868699484164,-0.014802095480263233,0.0009297579526901245,0.7605215037364512,0.005520731210708618
1745971743124953000,0.685953125,-0.10102494802193744,0.04134788364171982,0.03335319294892359,-0.044440001249313354,-0.9911161548815941,0.1165774854732265,-2.91141644850795,right,0.0033075809478759766,-0.07893607017742472,-0.9859528918880969,-9.726268303295969,-0.05464324920158996,-0.007502027787268162,-0.0048510730266571045,0.7732950605917721,0.0013568177819252014
1745971743164953000,0.725953125,-0.10169859049854874,0.02372662164270878,0.033726661349929486,-0.006089650094509125,-0.9910218228540234,0.1170827020609789,-2.910460554235135,right,0.006411194801330566,-0.07982163087866864,-0.9924348012533039,-9.724916888687014,-0.055043055070885444,-0.009829851798713207,-0.004185095429420471,0.7819521220389754,0.009291909635066986
1745971743204952800,0.765952880859375,-0.10260742177376261,-0.004117373377084732,0.03396115103808481,0.00870826281607151,-0.9909711764943601,0.11721377356895961,-2.9102546041960164,right,0.005341947078704834,-0.08041351802435749,-1.0012250606261193,-9.723548522943258,-0.05553032976458743,-0.0033898837864398956,-0.003657236695289612,0.7877379388988017,0.009631238877773285
1745971743244952800,0.805952880859375,-0.10313805065053563,-0.02087598666548729,0.03500950377256521,0.00935042928904295,-0.9909535914366784,0.11687824454307763,-2.9110500175310836,right,0.0017278194427490234,-0.08254626468156277,-1.0062092787794767,-9.721322663587332,-0.05589990763186335,-0.010449307039380074,-0.0013325586915016174,0.808583596920222,0.004506856203079224
1745971743284952800,0.845952880859375,-0.10392518489938414,-0.0017986297607421875,0.03564057218485749,-0.00824964139610529,-0.9909164654153859,0.11678045313893787,-2.9113388446806914,right,-0.0016847848892211914,-0.08389570944578857,-1.0137468346774579,-9.719434073361754,-0.05636075033189416,-0.005933863576501608,-0.00031231343746185303,0.8217713605996221,0.0011947005987167358
