time,seconds_elapsed,roll,rotationRateZ,quaternionY,rotationRateY,quaternionZ,quaternionW,yaw,devicelocation,accelerationZ,pitch,gravityX,gravityZ,quaternionX,rotationRateX,accelerationX,gravityY,accelerationY
1746231631848701700,0.20370166015625,-0.9819582259502145,-0.031642183661460876,-0.47115994986312376,0.05756518244743347,5.8670204982556695e-18,0.8817375294585219,0.02206059203463277,right,-0.41214293241500854,0.04125782958507093,-8.1481381115973,-5.441930357164145,0.023389117678734427,0.03296947479248047,0.6319518089294434,-0.40448633465152234,0.11501681804656982
1746231631888701700,0.24370166015625,-0.5422708714269763,-0.06274263560771942,-0.26878478370746717,0.13360252976417542,0.08730503970403578,0.959234698247016,0.167881307711474,right,-0.11568009853363037,-0.04909186144553925,-5.054942379400134,-8.389657880240678,-0.0011152707180912857,0.0004135444760322571,0.3187342882156372,0.48123336464762684,0.024556506425142288
1746231631928701700,0.28370166015625,-0.3334967835226808,-0.08771392703056335,-0.16895915350471288,0.19762276113033295,0.12583700426852512,0.9774407003845793,0.2439390960557131,right,-0.03011906147003174,-0.07206805646703172,-3.2018656580135225,-9.242284178635478,-0.015081764368609918,-0.017263632267713547,0.13878674805164337,0.7061345914453268,-0.0036383643746376038
1746231631968701700,0.32370166015625,-0.26251180536377167,-0.09354852139949799,-0.13463704238890659,0.2091900110244751,0.13695187726856542,0.9811835711132908,0.26732789986573374,right,-0.016707241535186768,-0.0759904144582714,-2.537551269687712,-9.443354447990655,-0.01989419224066256,0.0012972000986337662,0.07566103339195251,0.7444944249778985,-0.01644507423043251
1746231632008701700,0.36370166015625,-0.19143738622848688,-0.09938311576843262,-0.10013469467028124,0.22075724601745605,0.14788341825552123,0.983612910210692,0.2909423976673546,right,-0.008025169372558594,-0.07824745160443818,-1.8602040890485048,-9.598041736355423,-0.024679986677045667,0.01985803246498108,0.01120634377002716,0.7665626105315982,-0.027590498328208923
1746231632048701700,0.40370166015625,-0.18499640233423442,-0.08025124669075012,-0.09648980861132744,0.10892608761787415,0.14577507661796227,0.9843491324592502,0.28736288182934094,right,-0.016643524169921875,-0.07204099211434452,-1.7991855567231774,-9.614315410286187,-0.022272115674377417,0.05564703419804573,0.005747869610786438,0.705869876094535,-0.02527862787246704
1746231632088701700,0.44370166015625,-0.18320270550670892,-0.06163050979375839,-0.09510120692981681,0.030546769499778748,0.14476974441142307,0.9847014300638673,0.2859759234083734,right,-0.0170937180519104,-0.06497362084643726,-1.7828018465466797,-9.622192427271605,-0.018986648837124035,0.06391815096139908,0.006792157888412476,0.6367253204587847,-0.016611270606517792
1746231632128701700,0.48370166015625,-0.18139993531338086,-0.04300977289676666,-0.09371126431917211,-0.04783254116773605,0.1437623745318008,0.9850401185718615,0.2845768194915172,right,-0.01759427785873413,-0.057908719056180495,-1.7662198373191058,-9.629574938738346,-0.015700909418744392,0.07218927145004272,0.007816240191459656,0.5675732025710866,-0.007943149656057358
1746231632168701700,0.52370166015625,-0.18311738773946765,-0.04866500571370125,-0.09410201470096699,-0.08703593909740448,0.14273389715251958,0.9851984076401237,0.2830263342380378,right,-0.00615239143371582,-0.05148493843745015,-1.7833827151745556,-9.629913376912475,-0.012484338944583192,0.0669933408498764,0.0061035603284835815,0.5046717425759881,-0.005352284759283066
1746231632208701700,0.56370166015625,-0.18489890835825346,-0.04815834015607834,-0.09473939317112197,-0.09471441805362701,0.1421158948197913,0.9852473333197155,0.2820527451788972,right,-0.004112362861633301,-0.048082800387947745,-1.800841068845242,-9.628353287988901,-0.010726406960817215,0.09118997305631638,0.003683313727378845,0.47134950135182585,-0.0050237737596035
1746231632248701700,0.60370166015625,-0.18667682113165437,-0.04765167459845543,-0.0953763987216765,-0.10239289700984955,0.14149735929326082,0.9852924433812945,0.28108541806101,right,-0.002086162567138672,-0.04467894427442091,-1.818243746805936,-9.626657005465031,-0.008968435724793637,0.11538660526275635,0.0012574046850204468,0.43800497523061926,-0.0046930015087127686
1746231632288701700,0.64370166015625,-0.18995644461414926,-0.061148516833782196,-0.09661913126306143,-0.11984944343566895,0.140636369546015,0.9853163241338749,0.2798037741421008,right,-0.010330796241760254,-0.03931102309936825,-1.8502230855211614,-9.622812604996561,-0.0061526288366598155,0.10967492312192917,-0.002739548683166504,0.3854101339880377,-0.0017538778483867645
1746231632328701700,0.68370166015625,-0.19451794201758152,-0.0543380044400692,-0.09850651055753802,-0.12352437525987625,0.13974726984141742,0.9852695287516785,0.2784668498064027,right,-0.0000553131103515625,-0.034093090995359884,-1.8944610173068939,-9.616114568662644,-0.0033262243189106414,0.1305827647447586,-0.0006725788116455078,0.3342742228494957,-0.005058815702795982
1746231632368701700,0.72370166015625,-0.19906948610796152,-0.056514494121074677,-0.10037169834895751,-0.10152531415224075,0.13885800121413194,0.9852125493504381,0.2771857517607205,right,0.005272090435028076,-0.028576705840150936,-1.9385444891832768,-9.609053544235229,-0.00035423308068503533,0.09772095829248428,0.0035714805126190186,0.28020357343330976,-0.0061612240970134735
1746231632408701700,0.76370166015625,-0.20260168342354531,-0.033287033438682556,-0.10180657302546764,-0.05438113585114479,0.13791607332012534,0.9851955877353522,0.2757221814062263,right,0.01130521297454834,-0.02407351200496328,-1.9727073094174266,-9.603285482227802,0.002035300804052751,0.05718069151043892,0.005771532654762268,0.2360576673125848,-0.010818935930728912
1746231632448701700,0.80370166015625,-0.20370363778347786,-0.012960720807313919,-0.10225762967790077,-0.027012763544917107,0.13763651063684687,0.9851861752361656,0.2752940414988703,right,0.006925642490386963,-0.02271075119791517,-1.983351745289564,-9.601411505049466,0.002760883091611704,0.009268365800380707,0.005081310868263245,0.22269721394740044,-0.00977258663624525
1746231632488701700,0.84370166015625,-0.20399267533587012,0.007261326536536217,-0.10240282060291214,-0.009825991466641426,0.1375343945143148,0.9851853834864563,0.2750837901657557,right,0.003961324691772461,-0.022748055337140687,-1.9861251555256545,-9.600829905769228,0.0027516275010850523,-0.025687668472528458,0.002545267343521118,0.2230629419872537,-0.015169335529208183
1746231632528701700,0.88370166015625,-0.20431933256128912,0.030084658414125443,-0.10261961655408827,-0.0318039171397686,0.13783685956913788,0.985121516532073,0.27561438586898385,right,-0.007779419422149658,-0.023584067718051296,-1.989222683149576,-9.599994623988866,0.002389375203800234,-0.035595618188381195,-0.002479180693626404,0.2312592175222933,-0.016830476000905037
1746231632568701700,0.92370166015625,-0.205700739194558,0.03921704739332199,-0.10332102063011234,-0.05755093693733215,0.13839664093487827,0.9849697434983794,0.2767209478996983,right,-0.011863887310028076,-0.023913448446437918,-2.0024666339956223,-9.597162615433335,0.002379461434534691,-0.025846704840660095,-0.002534925937652588,0.2344884269681759,-0.01181318424642086
1746231632608701700,0.96370166015625,-0.20708175480353727,0.04834943264722824,-0.10402232474853054,-0.083297960460186,0.13895618834783985,0.984817115821046,0.2778268084839843,right,-0.015950322151184082,-0.024244322946902087,-2.0157025476656854,-9.594311317655444,0.0023695483620040053,-0.016097789630293846,-0.002591460943222046,0.23773226772760972,-0.006797391921281815
1746231632648701700,1.00370166015625,-0.21262424457682627,0.0007941350340843201,-0.10665028564878555,-0.13103656470775604,0.1394305422285989,0.984465462165992,0.27895711747441715,right,-0.006707489490509033,-0.022795658225563654,-2.0689181511551142,-9.583318798997997,0.0035282752760305907,0.03130931779742241,-0.0033701062202453613,0.22352964618355034,-0.007181922905147076
