time,seconds_elapsed,roll,rotationRateZ,quaternionY,rotationRateY,quaternionZ,quaternionW,yaw,devicelocation,accelerationZ,pitch,gravityX,gravityZ,quaternionX,rotationRateX,accelerationX,gravityY,accelerationY
1746229303461010400,0.200010498046875,-1.447357524626587,-0.10750646889209747,-0.6250700887303776,-0.2710398733615875,1.8947545066266772e-17,0.7469451334648232,0.30584340718468606,right,-0.883414626121521,0.34538294362646094,-9.157314569619297,-1.1361429418988525,0.2266277776772994,0.3526603579521179,0.9385169148445129,-3.3201106369048357,0.24118271470069885
1746229303501010400,0.240010498046875,-0.5987353153824077,-0.15004834532737732,-0.2900664114387953,-0.2677399516105652,-0.02647628991490734,0.9468683797791702,0.03013667800050127,right,-0.1992223858833313,0.2771716358662297,-5.316063505092263,-7.791593202891946,0.1363846194419905,0.2949698269367218,0.5334346890449524,-2.683456116659939,0.16078341007232666
1746229303541010400,0.280010498046875,-0.2004644168747962,-0.13461682200431824,-0.10236587729478185,-0.2106495201587677,-0.040661886673735236,0.990725620272087,-0.06523050864673981,right,-0.019630789756774902,0.16675016617500757,-1.925658704125136,-9.476963287603855,0.07956476140338826,0.2567453682422638,0.16660915315151215,-1.62769326402992,0.03006845712661743
1746229303581010400,0.320010498046875,-0.10750283630945515,-0.11793607473373413,-0.056486139342737635,-0.21069082617759705,-0.04528739867883876,0.995032681569983,-0.08333515753498451,right,-0.0008653402328491211,0.14155849539424953,-1.0416887345701455,-9.652510993167757,0.06832437442217362,0.22723768651485443,0.06421217322349548,-1.383583332762867,-0.011678159236907959
1746229303621010200,0.36001025390625,-0.015325265742671856,-0.10125532001256943,-0.010478105276724475,-0.2107321172952652,-0.04981007234215538,0.9970797984526227,-0.09894808612233698,right,0.00901561975479126,0.11482110396774943,-0.14929444374474696,-9.740932203942537,0.05692881451693787,0.19773000478744507,-0.03904383257031441,-1.1235381657391785,-0.05504968762397766
1746229303661010200,0.40001025390625,-0.028817463418484634,-0.06451933085918427,-0.017759261208285717,-0.1696307361125946,-0.05174435049646452,0.9963178322440301,-0.10184733454021379,right,0.006711840629577637,0.1337785623712211,-0.28003935931492596,-9.714992291522025,0.06601407683748235,0.1355258971452713,-0.022363677620887756,-1.3080102053843439,-0.030553296208381653
1746229303701010400,0.440010498046875,-0.035943986746233364,-0.009061634540557861,-0.021511537391409725,-0.11976700276136398,-0.052177983535986926,0.9959706674786016,-0.10213414844364253,right,-0.0018402934074401855,0.1415406020037919,-0.34889041189681735,-9.702311089125274,0.06969262470997278,0.09323586523532867,-0.0197288878262043,-1.3834095836311577,-0.017539724707603455
1746229303741010400,0.480010498046875,-0.04307636829938212,0.04639606177806854,-0.025263214549505805,-0.06990326941013336,-0.052610170388180576,0.9955957407477579,-0.10236536947379471,right,-0.010502278804779053,0.14930449805337914,-0.41760640338957306,-9.688552612885832,0.07336923720792435,0.050945840775966644,-0.017107859253883362,-1.458743495426327,-0.004532799124717712
1746229303781010400,0.520010498046875,-0.049288179569517816,0.017532940953969955,-0.028399095100469035,0.012724610976874828,-0.05207705791485678,0.9953913230167408,-0.10074833008805967,right,0.011765360832214355,0.1535658297147759,-0.4774708337763324,-9.67947557246089,0.07534980370078405,-0.04850918427109718,-0.005246918648481369,-1.5000547261103987,0.00823889672756195
1746229303821010400,0.560010498046875,-0.04847617817800245,0.0019675176590681076,-0.027932315163856476,0.04299869015812874,-0.05136960190883178,0.9954568800325531,-0.09939847339636683,right,0.006876766681671143,0.15307193254459978,-0.46964678908716884,-9.680598439010977,0.07514394637472334,-0.019005272537469864,-0.0010151267051696777,-1.495267930225283,0.0075724124908447266
1746229303861010400,0.600010498046875,-0.04766356102515488,-0.013597906567156315,-0.0274655141582981,0.07327276468276978,-0.05066212388248564,0.9955216482973782,-0.09804834602259899,right,0.0019870996475219727,0.15257911825136405,-0.46181507254820314,-9.68171195321083,0.07493803266544358,0.010498639196157455,0.003215871751308441,-1.4904915096037088,0.006906971335411072
